Test Case ID,Work Week,Date,Result,Run Group,Time Taken,Notes,Jira Link,Executed By
TC-SW-001,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-002,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-003,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SYS-001,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-004,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-005,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-006,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-007,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-008,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-009,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-010,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-011,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-012,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-013,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-014,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-015,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-016,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-017,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-018,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-019,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-020,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-021,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SW-022,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SYS-002,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
